uid,date,event_type,price,cogs
256,3/2/20,visit,,
256,3/4/20,visit,,
256,3/4/20,purchase,158700,66654
268,3/3/20,visit,,
268,3/1/20,visit,,
268,3/6/20,visit,,
268,3/6/20,purchase,98700,62181
268,3/5/20,visit,,
207,3/1/20,visit,,
207,3/7/20,visit,,
207,3/5/20,visit,,
207,3/2/20,visit,,
207,3/6/20,visit,,
351,3/5/20,visit,,
351,3/4/20,visit,,
351,3/3/20,visit,,
351,3/6/20,visit,,
351,3/2/20,visit,,
351,3/2/20,purchase,71600,25776
351,3/7/20,visit,,
351,3/7/20,purchase,50500,30300
351,3/1/20,visit,,
335,3/7/20,visit,,
335,3/7/20,visit,,
335,3/3/20,visit,,
335,3/2/20,visit,,
335,3/6/20,visit,,
335,3/6/20,purchase,53100,29736
180,3/2/20,visit,,
180,3/5/20,visit,,
180,3/5/20,purchase,106900,57726
180,3/3/20,visit,,
180,3/2/20,visit,,
180,3/1/20,visit,,
180,3/6/20,visit,,
180,3/6/20,purchase,81800,50716
180,3/7/20,visit,,
240,3/3/20,visit,,
240,3/5/20,visit,,
240,3/5/20,visit,,
270,3/2/20,visit,,
270,3/2/20,purchase,33900,9492
270,3/1/20,visit,,
270,3/1/20,purchase,152600,82404
270,3/7/20,visit,,
270,3/7/20,purchase,77600,51216
270,3/1/20,visit,,
300,3/4/20,visit,,
300,3/5/20,visit,,
388,3/3/20,visit,,
388,3/3/20,purchase,127000,39370
388,3/5/20,visit,,
68,3/6/20,visit,,
68,3/3/20,visit,,
68,3/2/20,visit,,
68,3/5/20,visit,,
68,3/6/20,visit,,
68,3/1/20,visit,,
81,3/2/20,visit,,
81,3/7/20,visit,,
81,3/3/20,visit,,
81,3/6/20,visit,,
81,3/1/20,visit,,
176,3/2/20,visit,,
176,3/5/20,visit,,
176,3/4/20,visit,,
384,3/2/20,visit,,
384,3/7/20,visit,,
384,3/7/20,visit,,
384,3/4/20,visit,,
384,3/2/20,visit,,
166,3/4/20,visit,,
166,3/4/20,purchase,82100,53365
166,3/7/20,visit,,
166,3/4/20,visit,,
166,3/6/20,visit,,
166,3/6/20,purchase,106600,30914
166,3/7/20,visit,,
166,3/7/20,purchase,132100,71334
166,3/7/20,visit,,
166,3/5/20,visit,,
166,3/7/20,visit,,
166,3/6/20,visit,,
250,3/1/20,visit,,
250,3/1/20,visit,,
250,3/5/20,visit,,
391,3/2/20,visit,,
391,3/2/20,visit,,
391,3/3/20,purchase,43000,24940
391,3/2/20,visit,,
391,3/7/20,visit,,
391,3/5/20,visit,,
391,3/5/20,purchase,17600,4928
391,3/4/20,visit,,
391,3/5/20,visit,,
391,3/5/20,purchase,9100,3822
391,3/1/20,visit,,
168,3/1/20,visit,,
168,3/3/20,visit,,
168,3/4/20,visit,,
168,3/5/20,visit,,
168,3/6/20,visit,,
168,3/3/20,visit,,
168,3/2/20,visit,,
185,3/2/20,visit,,
185,3/5/20,visit,,
132,3/5/20,visit,,
132,3/7/20,visit,,
132,3/6/20,visit,,
132,3/6/20,purchase,153300,75117
132,3/5/20,visit,,
132,3/3/20,visit,,
132,3/5/20,visit,,
132,3/7/20,visit,,
132,3/2/20,visit,,
132,3/2/20,purchase,89300,66975
34,3/3/20,visit,,
34,3/5/20,visit,,
