uid,source,region,cost
1,seo,vladimir,32100
2,cpc_direct,vladimir,22800
3,smm,vladimir,43600
4,smm,vladimir,46400
5,cpc_direct,ekb,26900
6,smm,moscow,41400
7,cpc_adwords,moscow,25800
8,smm,vladimir,39200
9,seo,ekb,24100
10,smm,moscow,33700
11,smm,moscow,41600
12,smm,ekb,20200
13,seo,volgograd,43700
14,cpc_adwords,ekb,28000
15,cpc_adwords,volgograd,41400
16,cpc_direct,ekb,22400
17,cpc_direct,vladimir,39700
18,smm,spb,33200
19,seo,spb,22200
20,seo,vladimir,27800
21,seo,spb,43500
22,smm,volgograd,38000
23,cpc_adwords,volgograd,26700
24,cpc_direct,spb,27800
25,smm,moscow,48500
26,cpc_adwords,moscow,32200
27,cpc_adwords,spb,25800
28,cpc_direct,orel,47800
29,cpc_direct,orel,31800
30,cpc_adwords,volgograd,41300
31,cpc_adwords,vladimir,48200
32,cpc_adwords,ekb,28500
33,seo,orel,39700
34,seo,vladimir,40500
35,smm,vladimir,35700
36,cpc_direct,vladimir,21600
37,cpc_direct,volgograd,24400
38,seo,orel,31100
39,smm,ekb,37800
40,cpc_direct,volgograd,46000
41,smm,volgograd,35300
42,cpc_adwords,spb,37000
43,cpc_direct,volgograd,22300
44,seo,moscow,43000
45,cpc_adwords,moscow,49000
46,smm,ekb,30200
47,seo,volgograd,45800
48,cpc_direct,orel,27400
49,cpc_adwords,ekb,31400
50,smm,vladimir,38500
51,cpc_direct,orel,43800
52,smm,spb,45200
53,cpc_adwords,spb,47500
54,smm,spb,24500
55,smm,moscow,29400
56,cpc_adwords,volgograd,36500
57,smm,volgograd,43000
58,cpc_direct,volgograd,47300
59,cpc_direct,vladimir,37300
60,smm,vladimir,47000
61,seo,vladimir,40900
62,cpc_direct,volgograd,30200
63,smm,moscow,47400
64,seo,volgograd,47800
65,smm,orel,43500
66,cpc_adwords,vladimir,28500
67,cpc_direct,moscow,28300
68,cpc_adwords,ekb,41700
69,cpc_adwords,volgograd,49300
70,cpc_adwords,spb,27800
71,seo,ekb,26900
72,cpc_direct,orel,26100
73,seo,spb,49200
74,cpc_direct,orel,43100
75,smm,ekb,45500
76,seo,vladimir,33900
77,cpc_adwords,volgograd,21300
78,smm,ekb,42000
79,cpc_adwords,volgograd,20500
80,seo,orel,48500
81,seo,volgograd,34500
82,seo,moscow,39800
83,seo,ekb,33100
84,seo,moscow,43700
85,cpc_adwords,moscow,34900
86,cpc_direct,volgograd,26900
87,cpc_direct,volgograd,42600
88,cpc_direct,vladimir,20800
89,cpc_direct,volgograd,34300
90,smm,volgograd,49300
91,cpc_direct,vladimir,25700
92,seo,orel,28100
93,cpc_adwords,volgograd,45500
94,cpc_adwords,moscow,31200
95,smm,volgograd,27500
96,cpc_adwords,moscow,25300
97,smm,spb,42800
98,smm,vladimir,28600
99,cpc_adwords,spb,49200
100,seo,ekb,35900
101,cpc_direct,spb,29100
102,cpc_direct,volgograd,46100
103,cpc_adwords,ekb,37200
104,cpc_adwords,ekb,25200
105,smm,spb,21200
106,seo,orel,23400
107,cpc_direct,orel,29700
108,cpc_adwords,volgograd,47500
109,smm,vladimir,23200
110,cpc_direct,volgograd,26900
